"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(FTM)","Value_OUT(FTM)","CurrentValue @ $0.9838/FTM","TxnFee(FTM)","TxnFee(USD)","Historical $Price/FTM","Status","ErrCode","Method"
"0x247e552ddad93ae03ca6aece96d1efda6e6d4e661f073a221e45d990e3dd8bd8","37118505","1651119354","2022-04-28 04:15:54","0x1cbea1fc4de249ba78b294043bac7e2cb10998ee","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.024580379245","0.024182177101231","","","","Collect Collateral",""
"0xb6883f583a262f4052f8b6bca924edf529050aef57302e9e02476fdfd4e92f89","37118875","1651119797","2022-04-28 04:23:17","0x60fb4b046b07ce529fb93598286339873d26dd0c","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.1111317254816","0.109331391528798","","","","Redeem Fractional DEI",""
"0x444b588b3155d0e36aa5c603b61a2f9d279cfeb92a48c3eb308f82c0db1ba39d","37118910","1651119844","2022-04-28 04:24:04","0x60fb4b046b07ce529fb93598286339873d26dd0c","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.03137989846","0.030871544104948","","","","Collect Collateral",""
"0x3dd324b6e8f43741ac740c59eb1a3a47dcf0f0b79997b0184868e94a3dfafb33","37118949","1651119888","2022-04-28 04:24:48","0x06960627461629409a087af6da50fe4d38d74f7e","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.094264357383","0.0927372747933954","","","","Redeem Fractional DEI",""
"0x2ecef584c4d1b79d7c4f2fa7acbfd76c5f19199b71cd2ca9f443c12e57effbaf","37118972","1651119911","2022-04-28 04:25:11","0xb7e87009d5ac8fc6ac2205ed77bbf400572a4044","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.106367254083","0.104644104566855","","","","Redeem Fractional DEI",""
"0x278d4d6e5d2a534c44b61b53b9e591da080cb3c66b1ce90a4d2437ce1953f422","37118998","1651119937","2022-04-28 04:25:37","0x06960627461629409a087af6da50fe4d38d74f7e","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.0252495020075","0.0248404600749785","","","","Collect Collateral",""
"0x1e6a8308792f8d4743dc5d35f33c746aed3af149057ff7696ec933e015687c04","37119016","1651119955","2022-04-28 04:25:55","0xb7e87009d5ac8fc6ac2205ed77bbf400572a4044","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.025751345085","0.025334173294623","","","","Collect Collateral",""
"0x512e25a106d492e3ddfeea29f2f3ae1b68fcf34a518f3890c00426dd5859a778","37119043","1651119999","2022-04-28 04:26:39","0x3b15cec2d922ab0ef74688bcc1056461049f89cb","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.078972193881","0.0776928443401278","","","","Redeem Fractional DEI",""
"0xf42045b2bc5026cd186a4b9624de8244011e3051af7c4a2e4b6d73dcb974b629","37119078","1651120037","2022-04-28 04:27:17","0x3b15cec2d922ab0ef74688bcc1056461049f89cb","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.018718904875","0.018415658616025","","","","Collect Collateral",""
"0x25891932faf4895f653df93112ee2d224cde5ba7d93b50f02ddd5594976f7e07","37119103","1651120066","2022-04-28 04:27:46","0xd1275eb5d5ea553bb52f00cf8025f07b50a66329","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.0781350642056","0.0768692761654693","","","","Redeem Fractional DEI",""
"0x97f26ed2af516478fe1cde4642dc5fb03b50a81edc28a8c76c1f8f449b8868a2","37119147","1651120122","2022-04-28 04:28:42","0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.078490304919","0.0772187619793122","","","","Redeem Fractional DEI",""
"0x71ddf3e4dedde5212f99e7d79434b2bc107977efd66f7f79fe162f8dfebe9e9b","37119195","1651120173","2022-04-28 04:29:33","0x1ee81a15108866b0aa70aa76445559c49a9556fc","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.117764466","0.1158566816508","","","","Redeem Fractional DEI",""
"0xcb52ceccba6d03a7aedc620a98702e2843b304cb9f8268943987fc8774f9bc27","37119199","1651120178","2022-04-28 04:29:38","0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.01900764797","0.018699724072886","","","","Collect Collateral",""
"0xb7c62e000de816d01d6a35a4d94f7027662e34d2f838e4cc01bf2df3f870e28e","37119203","1651120182","2022-04-28 04:29:42","0xcff8097b146dc56f40bdf34e18e0283dd404765f","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.086823244956","0.0854167083877128","","","","Redeem Fractional DEI",""
"0x71449054b2d3cc2bc041c81fc1ef14ae634bbf728c5b396fd3eaa245acd04265","37119242","1651120220","2022-04-28 04:30:20","0xcff8097b146dc56f40bdf34e18e0283dd404765f","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.021127062995","0.020784804574481","","","","Collect Collateral",""
"0xa67a4cf894f00b8e9a3d4556639b9429814505afdfd1d08ef851cd9a79874e4e","37119249","1651120226","2022-04-28 04:30:26","0xd1275eb5d5ea553bb52f00cf8025f07b50a66329","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.0628371997152","0.0618192370798138","","","","Redeem Fractional DEI",""
